Custos médios e índices, segundo as áreas geográficas
 Unidade Geográfica;Custo médio m² - moeda corrente-Reais;Custo médio m² - número-índice-Número-índice;Custo médio m² - variação percentual em doze meses-%;Custo médio m² - variação percentual no ano-%;Custo médio m² - variação percentual no mês-%
Acre;1950.92;1035.33;4.5;4.01;0.43
Alagoas;1588.38;793.32;3.8;1.58;0.1
Amapá;1761.39;855.49;5.33;3.8;0
Amazonas;1816.93;889.4;3.79;1.33;0.55
Bahia;1639.2;867.69;3.07;2.81;0.27
Brasil;1767.09;884.5;3.12;2.61;0.63
Ceará;1646.06;950.84;4.05;4.06;1.1
Centro-Oeste;1784.93;910.95;2.46;1.69;0.14
Distrito Federal;1816.88;802.49;1.88;1.35;0.05
Espírito Santo;1602.59;889.12;1.42;1.52;0.36
Goiás;1742.71;920.48;1.93;1.96;0.01
Maranhão;1720.99;906.87;5.26;4.06;0.22
Mato Grosso;1828.81;1043.09;3.65;1.51;0.31
Mato Grosso do Sul;1738.68;817.86;2.17;2.18;0.22
Minas Gerais;1655.62;911.08;2.44;2.71;0.02
Nordeste;1643.19;887.68;3.22;2.77;0.38
Norte;1815.94;904.79;4.27;2.46;0.41
Paraná;1895.83;906.6;4.55;3.91;2.84
Paraíba;1694.91;937.29;2.74;2.64;0.03
Pará;1761.57;844.71;3.45;1.68;0.36
Pernambuco;1580.17;844.77;-0.52;0.69;0.42
Piauí;1647.04;1094.66;5.2;1.99;0.17
Rio Grande do Norte;1670.74;842.12;5.78;3.25;0.24
Rio Grande do Sul;1769.02;802.74;2.37;1.99;1.42
Rio de Janeiro;1952.14;889.68;3.35;3.05;0.28
Rondônia;1950.39;1087.56;8.06;6.97;0.59
Roraima;1911.46;793.92;5.7;2.06;0.19
Santa Catarina;2011.3;1088.87;1.79;1.2;0.55
Sergipe;1576.94;837.82;3.28;3.08;0.02
Sudeste;1812.5;867.65;2.94;2.74;0.58
Sul;1891.57;904.65;3.21;2.66;1.82
São Paulo;1867.85;843.37;3.13;2.7;1.03
Tocantins;1873.88;985.21;4.72;3.76;0.6

Fonte: "IBGE - Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil"
